Round 1
Pick,Team,Player,Elapsed Time,Rank,Total Fpts,Active Fpts,
7,The Young Core,49ers DST | SF ,53 sec,#22 DST,196.8,86.4
8,Chicken Dinner,Mason Taylor TE | NYJ ,28 sec,#32 TE,88.9,7.3
9,Pallino Primos,Bhayshul Tuten RB | JAC,8 sec,#51 RB,94,8.1
10,OnStar,Jake Elliott K | PHI ,18 sec,#22 K,130,3
11,jerseyj,Jerome Ford RB | WAS ,1 min 1 sec,#73 RB,44.4,1.8
12,Dude Abides,Justin Herbert QB | LAC,42 sec,#10 QB,354.8,224.85
Round 13
Pick,Team,Player,Elapsed Time,Rank,Total Fpts,Active Fpts,
1,Dude Abides,Woody Marks RB | HOU ,16 sec,#28 RB,177.4,53.7
2,jerseyj,Rashod Bateman WR | BAL ,52 sec,#106 WR,55.4,3
3,OnStar,Calvin Austin III WR | NYG ,1 min 3 sec,#75 WR,90,20.8
4,Pallino Primos,Brandon Aiyuk WR | SF ,47 sec, WR,0,0
5,Chicken Dinner,Darnell Mooney WR | NYG ,28 sec,#83 WR,82.3,0
6,The Young Core,Jalen Coker WR | CAR ,4 sec,#53 WR,123.8,0
7,Ruff Necks,Cameron Dicker K | LAC,11 sec,#4 K,182,176
8,Prometheus Out of Bounds,Trevor Lawrence QB | JAC,9 sec,#5 QB,427.7,23.75
9,Steel Your League,Matthew Stafford QB | LAR,25 sec,#1 QB,584.45,109.9
10,Rumblin' Stumblers,Matt Gay K | SF ,56 sec,#30 K,94,3
11,Three-Eyed RAVEN,Caleb Williams QB | CHI,4 sec,#4 QB,454.9,177
12,Mulvihill Machine,Tyler Bass K | BUF ,28 sec, K,0,0
Round 14
Pick,Team,Player,Elapsed Time,Rank,Total Fpts,Active Fpts,
1,Mulvihill Machine,Dylan Sampson RB | CLE,1 min 3 sec,#55 RB,90.6,0.2
2,Three-Eyed RAVEN,Texans DST | HOU ,30 sec,#1 DST,385.8,89
3,Rumblin' Stumblers,Packers DST | GB ,1 min 2 sec,#21 DST,192.8,50
4,Steel Your League,Chase McLaughlin K | TB,15 sec,#8 K,171,8
5,Prometheus Out of Bounds,Harrison Butker K | KC,10 sec,#11 K,155,130
6,Ruff Necks,Isaac Guerendo RB | SF,6 sec,#158 RB,0,0
7,The Young Core,Kyle Pitts TE | ATL ,11 sec,#2 TE,215.8,204
8,Chicken Dinner,Lions DST | DET ,1 min 23 sec,#18 DST,215.2,16
9,Pallino Primos,Cardinals DST | ARI ,4 sec,#29 DST,162.1,11
10,OnStar,Ray Davis RB | BUF,53 sec,#61 RB,72.7,0
11,jerseyj,Rachaad White RB | WAS ,18 sec,#37 RB,143,46.9
12,Dude Abides,Chris Boswell K | PIT,23 sec,#5 K,178,118
Round 15
Pick,Team,Player,Elapsed Time,Rank,Total Fpts,Active Fpts,
1,Dude Abides,Keenan Allen WR | LAC,3 sec (3 min 37 sec),#30 WR,193.2,27.9
2,jerseyj,Khalil Shakir WR | BUF,59 sec (5 min 22 sec),#31 WR,206.4,65.8
3,OnStar,Graham Adomitis TE | IND,1 min 5 sec (9 min 42 sec), TE,0,0
4,Pallino Primos,Ka'imi Fairbairn K | HOU ,15 sec (5 min 31 sec),#2 K,223,96
5,Chicken Dinner,*Brandon McManus K | GB,0 sec (9 min 46 sec),#25 K,119,1
6,The Young Core,Evan McPherson K | CIN,5 sec (9 min 20 sec),#16 K,142,69
7,Ruff Necks,Shedeur Sanders QB | CLE ,7 sec (5 min 17 sec),#37 QB,99,0
8,Prometheus Out of Bounds,Hunter Henry TE | NE,23 sec (4 min 7 sec),#5 TE,210,55
9,Steel Your League,Chiefs DST | KC ,11 sec (5 min 34 sec),#20 DST,199.4,6
10,Rumblin' Stumblers, (Skipped Pick),1 min 33 sec (11 min 28 sec), ,0,0
11,Three-Eyed RAVEN,Jake Bates K | DET ,1 sec (7 min 23 sec),#10 K,161,63
12,Mulvihill Machine,C.J. Stroud QB | HOU ,12 sec (11 min 38 sec),#19 QB,280.15,70.55
